cluster_id,cluster_size,weight
2,248,0.4732824427480916
0,154,0.29389312977099236
1,32,0.061068702290076333
5,31,0.05916030534351145
10,18,0.03435114503816794
4,15,0.02862595419847328
3,13,0.02480916030534351
6,7,0.013358778625954198
8,3,0.0057251908396946565
7,2,0.003816793893129771
9,1,0.0019083969465648854
