cluster_id,cluster_size,weight
0,351,0.23107307439104674
3,279,0.1836734693877551
8,262,0.17248189598420013
12,209,0.13759052007899933
6,80,0.052666227781435156
4,77,0.05069124423963134
1,64,0.04213298222514812
7,58,0.03818301514154049
16,50,0.032916392363396975
5,42,0.027649769585253458
2,19,0.012508229098090849
19,14,0.009216589861751152
18,4,0.0026333113890717576
14,2,0.0013166556945358788
9,2,0.0013166556945358788
17,2,0.0013166556945358788
11,1,0.0006583278472679394
13,1,0.0006583278472679394
15,1,0.0006583278472679394
10,1,0.0006583278472679394
