cluster_id,cluster_size,weight
1,215,0.1690251572327044
0,143,0.11242138364779874
8,120,0.09433962264150944
4,118,0.09276729559748427
23,103,0.0809748427672956
9,98,0.0770440251572327
21,92,0.07232704402515723
20,92,0.07232704402515723
2,63,0.049528301886792456
6,59,0.046383647798742135
19,39,0.030660377358490566
25,38,0.029874213836477988
10,25,0.019654088050314465
26,13,0.010220125786163521
18,12,0.009433962264150943
22,7,0.00550314465408805
7,7,0.00550314465408805
5,7,0.00550314465408805
27,4,0.0031446540880503146
28,4,0.0031446540880503146
16,3,0.0023584905660377358
24,1,0.0007861635220125787
29,1,0.0007861635220125787
15,1,0.0007861635220125787
17,1,0.0007861635220125787
14,1,0.0007861635220125787
13,1,0.0007861635220125787
12,1,0.0007861635220125787
11,1,0.0007861635220125787
3,1,0.0007861635220125787
30,1,0.0007861635220125787
