cluster_id,cluster_size,weight
15,284,0.2019914651493599
20,155,0.11024182076813656
27,148,0.10526315789473684
5,144,0.10241820768136557
12,134,0.0953058321479374
7,126,0.08961593172119488
13,65,0.04623044096728307
30,50,0.03556187766714083
2,39,0.027738264580369845
1,30,0.021337126600284494
6,28,0.01991465149359886
28,26,0.01849217638691323
22,26,0.01849217638691323
17,20,0.01422475106685633
8,19,0.013513513513513514
32,16,0.011379800853485065
16,16,0.011379800853485065
0,13,0.009246088193456615
21,11,0.007823613086770981
10,11,0.007823613086770981
3,8,0.005689900426742532
19,7,0.004978662873399715
9,6,0.004267425320056899
33,5,0.0035561877667140826
11,4,0.002844950213371266
4,4,0.002844950213371266
14,3,0.0021337126600284497
25,2,0.001422475106685633
18,1,0.0007112375533428165
23,1,0.0007112375533428165
24,1,0.0007112375533428165
26,1,0.0007112375533428165
29,1,0.0007112375533428165
31,1,0.0007112375533428165
